"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GPX3",-159.455286752925,70.3480991856496,-9.81268504774357,1.99394590063268e-20,1.55551707600157e-17,35.6636433436966
"TMEM100",-15.2388087582398,4.50846890788405,-9.71219053235669,4.41033295391099e-20,3.30825860000485e-17,34.8893368717729
"SERTM1",-0.743862339076212,0.158961456332026,-9.69976823951427,4.86344027832184e-20,3.51302502770781e-17,34.7939540242623
"ASPA",-2.31046896919929,1.12694720331819,-9.66095857621939,6.59826186173505e-20,4.59592503890781e-17,34.4964314704133
"PDZRN4",-15.6732800150662,3.60417041939395,-9.52822869387812,1.86277284709973e-19,1.25274685644779e-16,33.4843540304097
"GIP",-41.6492749420632,5.00780206639395,-9.48755390665477,2.55588949160094e-19,1.66158375848977e-16,33.1759133664342
"ZG16",-23.9588539791755,2.94164247715195,-9.4664322605516,3.01122501284563e-19,1.89444907824285e-16,33.0160651843993
"PMP2",-1.50246243888659,0.363807226209514,-9.4269161993283,4.08974180688542e-19,2.4925698268652e-16,32.7175974001945
"ADHFE1",-3.60665871946222,1.63965832357918,-9.4050443056443,4.84328817400599e-19,2.86238331083754e-16,32.5527287025881
"MYOT",-2.45645566523898,0.91669369805014,-9.38511617203521,5.64895330977575e-19,3.24033930589872e-16,32.4027183245699
"CBLIF",-441.349223412929,61.1995579274162,-9.37936050345678,5.90545384781064e-19,3.29068761125288e-16,32.3594288533694
"KNOP1",6.89744635513096,9.51169547213155,9.36352287842327,6.67241119247543e-19,3.61477876352357e-16,32.240396191294
"SLC25A4",-29.1756620915839,18.8535875674986,-9.3025465802189,1.06645537077224e-18,5.62137272869486e-16,31.7832799704101
"CBX3",61.053593240572,86.9940349323703,9.27542747684965,1.3129838188824e-18,6.73871668938514e-16,31.5805783145468
"GSN",-187.374477840744,125.102318908896,-9.26746473013892,1.39555725481712e-18,6.97885977966623e-16,31.5211312719299
"CCKBR",-7.99512592908516,1.99805253722659,-9.25658708740578,1.51673570171177e-18,7.39522409762114e-16,31.4399744736831
"TAFA4",-14.5463452504999,2.38252946778118,-9.23525160618069,1.78551356124438e-18,8.30108581347213e-16,31.2809671215868
"ADRB2",-3.55589859823676,1.98493105733724,-9.23509502539188,1.78765115195524e-18,8.30108581347213e-16,31.2798010228994
"TMEM35A",-12.6980861851643,3.37837452654325,-9.19951675283007,2.34536416456515e-18,1.06375900701195e-15,31.0151637036463
"MYOC",-116.252202025562,14.0578763684013,-9.19299781639996,2.46483313074162e-18,1.09253728520122e-15,30.966744705193
