"","dynamicColors","mergedColors"
"ZNF43","brown","greenyellow"
"ZNF257","grey","grey"
"ZNF724","green","lightcyan"
"ZNF91","blue","lightcyan"
"ZNF675","grey","grey"
"ZNF681","grey","grey"
"UQCRFS1","yellow","lightyellow"
"POP4","yellow","lightyellow"
"PLEKHF1","grey","grey"
"C19orf12","grey","grey"
"CCNE1","yellow","lightyellow"
"URI1","yellow","lightyellow"
"TSHZ3","pink","greenyellow"
"ZNF507","blue","lightcyan"
"DPY19L3","blue","lightcyan"
"PDCD5","magenta","lightyellow"
"ANKRD27","turquoise","lightcyan"
"NUDT19","grey","grey"
"SLC7A9","grey","grey"
"CEP89","turquoise","lightcyan"
"FAAP24","yellow","lightyellow"
"RHPN2","green","lightcyan"
"GPATCH1","turquoise","lightcyan"
"WDR88","blue","lightcyan"
"LRP3","brown","greenyellow"
"CEBPA","grey","grey"
"CEBPG","green","lightcyan"
"PEPD","grey","grey"
"KCTD15","brown","greenyellow"
"LSM14A","green","lightcyan"
"KIAA0355","cyan","greenyellow"
"GPI","yellow","lightyellow"
"PDCD2L","magenta","lightyellow"
"UBA2","green","lightcyan"
"WTIP","brown","greenyellow"
"ZNF302","blue","lightcyan"
"ZNF181","blue","lightcyan"
"ZNF599","blue","lightcyan"
"ZNF30","blue","lightcyan"
"ZNF792","turquoise","lightcyan"
"GRAMD1A","pink","greenyellow"
"SCN1B","pink","greenyellow"
"HPN","grey","grey"
"FXYD3","grey","grey"
"LGI4","brown","greenyellow"
"FXYD1","brown","greenyellow"
"FXYD5","grey","grey"
"LSR","grey60","lightyellow"
"USF2","grey60","lightyellow"
"HAMP","purple","purple"
"CD22","red","purple"
"FFAR2","purple","purple"
"DMKN","grey","grey"
"TMEM147","magenta","lightyellow"
"HAUS5","black","lightyellow"
"RBM42","grey60","lightyellow"
"ETV2","midnightblue","midnightblue"
"COX6B1","magenta","lightyellow"
"ZBTB32","red","purple"
"KMT2B","grey60","lightyellow"
"IGFLR1","red","purple"
"U2AF1L4","red","purple"
"PSENEN","magenta","lightyellow"
"HSPB6","brown","greenyellow"
"PROSER3","grey60","lightyellow"
"ARHGAP33","turquoise","lightcyan"
"APLP1","grey","grey"
"NFKBID","red","purple"
"HCST","red","purple"
"TYROBP","purple","purple"
"LRFN3","turquoise","lightcyan"
"SDHAF1","grey60","lightyellow"
"SYNE4","grey","grey"
"ALKBH6","grey","grey"
"CLIP3","brown","greenyellow"
"THAP8","brown","greenyellow"
"WDR62","yellow","lightyellow"
"OVOL3","grey","grey"
"POLR2I","magenta","lightyellow"
"TBCB","magenta","lightyellow"
"CAPNS1","magenta","lightyellow"
"COX7A1","brown","greenyellow"
"ZNF565","blue","lightcyan"
"ZNF146","green","lightcyan"
